User_ID,title,interaction
103,Marketing Coordinator,2.0
436,Economic Development and Planning Intern,4.0
861,Producer,1.0
271,Inside Customer Service Associate,1.0
107,"Content Writer, Communications",1.0
72,Controller,4.0
701,Physician Assistant,1.0
21,Licensed Acupuncturist,1.0
615,Software Engineer,49.0
122,Marketing & Office Coordinator,1.0
467,Production Planner (Food Technologist),1.0
215,Commercial Property Manager,12.0
331,Blog writer and virtual assistant,21.0
459,Marketing Specialist,2.0
88,Sales Associate Natural Food Products,16.0
373,National Sales Manager,6.0
100,Director of Training,3.0
872,Social Security Specialist / Retirement Benefit Advisor (Remote),7.0
664,Full Stack Engineer,6.0
131,National Sales Manager,5.0
662,Executive Assistant,43.0
309,Social Media Coordinator,4.0
770,Seasonal Office Administrator,2.0
344,Digital Marketing Intern,3.0
492,Administrative Assistant,2.0
414,Salesforce Vlocity Developer,16.0
806,Architectural Designer,1.0
386,Heavy Equipment Operator,2.0
192,Recruitment Manager,19.0
956,Data Architect,1.0
277,SAP BTP,8.0
161,Operations Specialist,2.0
460,HR & Administrative Assistant,18.0
314,Senior Account Manager,3.0
22,Account Executive - Mid-Market,1.0
253,Administrative Assistant Project Coordinator,1.0
748,Technical Product and IT Manager for Data Center Dedicated Server Leasing,5.0
857,Motion Graphic Designer and Film Editor,28.0
561,Tax Associate,2.0
475,Photonics Layout Intern,11.0
59,Summer Intern for Women International Company,5.0
511,Social Media Marketing Specialist Internship,4.0
682,Marketing Manager,29.0
476,Customer Success Manager,41.0
700,Enterprise Data & Analytics Infrastructure Manager,1.0
976,Brand Representative,1.0
783,Inbound Call Center Specialist,2.0
190,User Experience Designer,2.0
958,CT Technologist,1.0
687,Elementary School Teacher,1.0
958,Sales and Application Engineer,1.0
563,Senior Software Engineer,5.0
876,Marketing Manager,51.0
567,Field Director,1.0
244,Sales Development Representative,2.0
832,Commercial Auto Underwriter Assistant,1.0
505,🌟🚀🌊 Make Waves with Your Sales Skills! Earn $2500-$3500/Week! 🌊🚀🌟,2.0
131,Montessori teacher for grades K-3,1.0
485,Yoga Teacher,4.0
819,Experienced Growth Consultants with OD/OCM experience,1.0
647,Project Assistant,1.0
21,Executive Personal Assistant,3.0
841,MEP Engineer,4.0
167,Accounts Payable Specialist,2.0
274,Level 1 Designer,2.0
388,Special Event Manager,2.0
601,Attending Physician,1.0
316,Board Member,1.0
14,Mechanical Engineer,34.0
242,Web Developer,5.0
777,Medical Assistant,9.0
346,"Managed File Transfer Specialist (connect direct , NDM) | REMOTE ROLE",4.0
565,"Technical Designer, Womans Denim Bottoms ",1.0
898,Admininistrative Assistant Intern,7.0
340,Cybersecurity Test Engineer – Remote,1.0
92,Histology Supervisor,1.0
367,Litigation Support Specialist,1.0
956,Founding Front-End Engineer (Web),7.0
455,Design Engineer (Stellantis Background),3.0
428,Senior Communications and Development Manager,4.0
509,Principal Backend Engineer,2.0
776,Sales and Marketing Assistant (Graduate),2.0
943,Director of Technical Operations,1.0
35,Program Manager,2.0
206,Fractional CFO,1.0
81,Administrative Assistant,6.0
932,Distributor Sales Specialist,4.0
562,Outside Salesperson,6.0
872,Sr Data Engineer with Kafka,10.0
388,Chairperson,4.0
2,Electrician Mechanic,7.0
390,"Electronics Technician: Production, Service and Testing",1.0
566,Accounts Payable Specialist,2.0
106,Care Coordinator,967.0
772,Founding High School Science Teacher,2.0
822,Youth Coach,1.0
477,Resolution Analyst,3.0
703,Product Support Specialist,10.0
402,Assistant Buyer / Receiving,2.0
730,Mechanical Design Engineering Manager,4.0
556,Commercial Appraiser Manager,1.0
162,Senior Linux/RedHat Engineer,51.0
202,Salesperson,1.0
958,Upper School Mathematics Teacher,2.0
996,Artificial Intelligence Engineer Intern - Chatbot,32.0
270,Speech Language Pathologist,1.0
863,Associate Director of Individual Giving,15.0
816,Building Maintenance Manager,2.0
